lease_id,status,landlord,tenant,site,state,announce_date,it_mw,it_mw_evidence,gross_mw,gross_mw_evidence,term_years,term_evidence,contract_value_musd,contract_value_evidence,avg_annual_revenue_musd,annual_revenue_evidence,power_paid_by,power_evidence,fitout_paid_by,fitout_evidence,credit_support,credit_support_evidence,rfs_date,rfs_evidence,doc_id,url,notes,reason_code,deal_key,site_evidence,state_evidence,mw_unstated,mw_unstated_evidence,signed_date,signed_evidence,n_leases,credit_type,first_rfs,first_rfs_evidence
P001,EXCLUDED,UNILEVER PLC,Amazon,,,2024-03-14,,,,,3.0,"Short term (up to three years) – this aligns with our three-year strategic plans, medium term (three to ten years) and long term (beyond ten years)",142.0,Strategic investments have helped to drive change – including a €131 million ($142 million) total investment in our Unilever Oleochemicals facility to source deforestation-free palm oil and palm kernel oil directly in the coming years,,,,,,"We will continue to increase brand investment, funded by cost savings and productivity gains",,"Guaranteed US debt securities At 31 December 2023, the Group had in issue US$11.2 billion (2022: US$10.8 billion; 2021: US$12.1 billion) bonds in connection with a US shelf registration",,Results The Group delivered underlying sales growth in 2023 of 7%,L000021741024000019_a991-unileverplcannualre,https://www.sec.gov/Archives/edgar/data/217410/000021741024000019/a991-unileverplcannualre.htm,REJECTED: Unilever annual report. No data-center lease. | reduce_panel: REJECTED -> EXCLUDED (not_a_lease),not_a_lease,,,,,,,,,,,
P002,EXCLUDED,UNILEVER PLC,Amazon,,,2025-03-13,,,,,5.0,"Building on our five-year sponsorship deal with the Fédération Internationale de Football Association (FIFA), this year we proudly sponsored several major tournaments around the world, including UEFA EURO 2024™, CONMEBOL Copa América USA 2024™, and TotalEnergies CAF Africa Cup of Nations Côte d’Ivoire 2023",,,,,,"Gross risk ■ By 2050, palm prices increase by 13% (1.5ºC) – 31% (4°C) and other commodities by an average of 17% (1.5°C) – 40% (4°C). ■ By 2050, extreme weather causes a 0.7% (1.5ºC)- 1.1% (4°C) loss in revenue due to reduced crop availability. ■ Assumes 0% pass-through of costs to customers",,"In the event of an unsuccessful defence in an action against them, individual Directors would be liable to repay the Company for any damages and to repay defence costs to the extent funded by the Company",,"Guaranteed US debt securities At 31 December 2024, the Group had in issue US$10.95 billion (2023: US$11.2 billion; 2022: US$10.75 billion) bonds in connection with a US shelf registration",,"Further, he has shown in the last 15 months as CFO that he can perform extremely well at a PLC level, displaying great leadership in support of the business and in helping to drive the results delivered in 2024",L000021741025000017_a991-unileverplcannualre,https://www.sec.gov/Archives/edgar/data/217410/000021741025000017/a991-unileverplcannualre.htm,REJECTED: Unilever annual report. No data-center lease. | reduce_panel: REJECTED -> EXCLUDED (not_a_lease),not_a_lease,,,,,,,,,,,
P003,EXCLUDED,BCE INC,Google,,,2026-05-07,,,6.5,"Under the arrangement, BUZZ HPC secured an initial 6.5 MW of gross capacity at the Merritt facility",5.0,"The $750 million Series D Notes, due 2056, initially bear interest at an annual rate of 5.375% and reset every five years starting on May 12, 2031 at an annual rate equal to the five-year Government of Canada yield plus a spread of 2.388%, provided that the interest rate during any five-year interest period will not reset below 5.375%",195.0,"• Wireline data revenues totalled $195 million in Q1 2026, compared to nil last year and mainly consisted of:",750.0,"The $750 million Series M-68 MTN debentures will mature on March 30, 2033 and carry an annual interest rate of 4.40%",,,,"Prepaid (11,893) 9,002 n.m",,"These statements are not guarantees of future performance or events, and we caution you against relying on any of these forward-looking statements",,"The platform is powered by WatchGuard’s Unified Security Platform and is operated and supported by Bell Cyber’s Canadian-based managed security services team, with monitoring and threat response delivered through Bell's national network",L000071894026000006_a2026-q1xmda,https://www.sec.gov/Archives/edgar/data/718940/000071894026000006/a2026-q1xmda.htm,"REJECTED: BCE MD&A. No lease terms. Values come from unrelated lines. | reduce_panel: REJECTED -> NO_TERMS | decision: NO_TERMS -> EXCLUDED (not_a_lease): No lease in this document (business update, results or forecasts).",not_a_lease,,,,,,,,,,,
P004,EXCLUDED,BCE INC,Cerebras; CoreWeave,,,2026-08-06,,,,,,,,,,,,,,,,,,,L000071894026000009_a2026-q2xmda,https://www.sec.gov/Archives/edgar/data/718940/000071894026000009/a2026-q2xmda.htm,"CONFIRM: BCE facility will provide capacity to Cerebras and CoreWeave. No MW, term or value for a lease. Confirm if this is a lease. Site name not given. | Changes: term_years 6 cleared; contract_value_musd 197 cleared; avg_annual_revenue_musd 900 cleared; tenant CoreWeave->Cerebras; CoreWeave | reduce_panel: REQUIRES HUMAN CONFIRMATION -> CONFIRM (unclassified) | decision: CONFIRM -> EXCLUDED (duplicate): duplicate of P141",duplicate,BCE-CEREBRAS-CRWV,,,,,,,,,,
P005,EXCLUDED,ICICI BANK LTD,IBM,,,2024-08-08,,,,,7.0,"YOCsl\7YT.7 YR )jv Aa.2/$އ`ڗy-M:d+=2}i1j:.2N=(N:6mFࣼש%\7/ z~C,%~ 46֩|[8",,,,,,,,,,,,,L000095010324011898_dp216331_ex9901,https://www.sec.gov/Archives/edgar/data/1103838/000095010324011898/dp216331_ex9901.pdf,REJECTED: ICICI Bank filing. Evidence text is corrupt. No lease. | reduce_panel: REJECTED -> EXCLUDED (not_a_lease),not_a_lease,,,,,,,,,,,
P006,EXCLUDED,"CoreWeave, Inc.",CoreWeave,,,2025-07-07,,,1300.0,"Through this acquisition, CoreWeave will own approximately 1.3 GW of gross power across Core Scientific's national data center footprint 1 with an incremental 1 GW+ of potential gross power available for expansion.. . “This acquisition accelerates our strategy to deploy AI and HPC workloads at scale,” said Michael Intrator, CoreWeave's Chief Executive Officer, Chairman of the Board, and co-founder",,,9000.0,"As of July 3, 2025, the agreed-upon exchange ratio implies a total equity value of approximately $9.0 billion",500.0,"Financial Impact . ● Immediate elimination of over $10 billion of cumulative future lease overhead to be paid for existing contractual sites over the next 12 years. . . ● Leverage neutral impact to CoreWeave while opening access to diverse financing sources at a more attractive cost of capital. . . ● Including the elimination of the lease overhead, this deal adds $500 million of estimated fully ra",,,,,,"You should not place undue reliance on any of these forward-looking statements as they are not guarantees of future performance or outcomes; actual performance and outcomes, including, without limitation, CoreWeave’s or Core Scientific’s actual results of operations, financial condition and liquidity, and the development of new markets or market segments in which CoreWeave or Core Scientific opera",,,L000095010325008492_dp231291_ex9901,https://www.sec.gov/Archives/edgar/data/1769628/000095010325008492/dp231291_ex9901.htm,"REJECTED: CoreWeave acquisition of Core Scientific. This is an M&A deal, not a lease. | reduce_panel: REJECTED -> EXCLUDED (not_a_lease)",not_a_lease,,,,,,,,,,,
P007,EXCLUDED,Cipher Mining Inc.,Fluidstack,Barber Lake,TX,2025-09-25,168.0,The Facility is expected to provide 168 megawatts (MW) of critical IT load for high-performance computing data center operations,,,10.0,Fluidstack’s obligations to pay rent under the Fluidstack Lease begin on the commencement date of the lease and will continue for a 10-year term,,,,,,,,,Google backstop,"On September 24, 2025, Cipher Barber Lake entered into a Recognition Agreement (the “Recognition Agreement”), among Cipher Barber Lake, Fluidstack and Google LLC (“Google”), pursuant to which Google has agreed to backstop (the “Google BackStop”) certain obligations of Fluidstack under the Fluidstack Lease, on the terms and subject to the conditions contained therein",,,L000095010325012168_dp234624_8k,https://www.sec.gov/Archives/edgar/data/1819989/000095010325012168/dp234624_8k.htm,"REVIEWED:  | Filled from candidates: site, state, credit_support | reduce_panel: REVIEWED -> NO_TERMS | decision: NO_TERMS -> EXCLUDED (duplicate): duplicate of P008",duplicate,CIFR-FLUIDSTACK-BARBER-P1,,,,,,,,,,
P008,REVIEWED,Cipher Mining Inc.,Fluidstack,Barber Lake,TX,2025-09-25,168.0,"Under the agreement, Cipher will deliver 168 MW of critical IT load, supported by a maximum of 244 MW of gross capacity, at its Barber Lake site in Colorado City, Texas",244.0,"Under the agreement, Cipher will deliver 168 MW of critical IT load, supported by a maximum of 244 MW of gross capacity, at its Barber Lake site in Colorado City, Texas",10.0,The agreement represents approximately $3 billion in contracted revenue over the initial 10-year term and includes two five-year extension options,3000.0,The agreement represents approximately $3 billion in contracted revenue over the initial 10-year term and includes two five-year extension options,,,,,,,Google,"In addition, Google will backstop $1.4 billion of Fluidstack’s lease obligations to support project-related debt financing and will receive warrants to acquire approximately 24 million shares of Cipher common stock, equating to an approximately 5.4% pro forma equity ownership stake, subject to adjustment and a potential cash settlement under certain circumstances",2026-09 (expected),Expected Delivery of 168 MW of Critical IT Load by September of 2026,L000095010325012168_dp234624_ex9901,https://www.sec.gov/Archives/edgar/data/1819989/000095010325012168/dp234624_ex9901.htm,"REVIEWED: Two 5-year options could raise value to ~$7.0B. | Changes: gross_mw filled 244 | Filled from candidates: site, state, credit_support, rfs_date | reduce_panel: REVIEWED -> REVIEWED | decision: REVIEWED -> REVIEWED",,CIFR-FLUIDSTACK-BARBER-P1,"Under the agreement, Cipher will deliver 168 MW of critical IT load, supported by a maximum of 244 MW of gross capacity, at its Barber Lake site in Colorado City, Texas","Under the agreement, Cipher will deliver 168 MW of critical IT load, supported by a maximum of 244 MW of gross capacity, at its Barber Lake site in Colorado City, Texas",,,,,1,third_party_backstop,2026-09,Expected Delivery of 168 MW of Critical IT Load by September of 2026
P009,EXCLUDED,Cipher Mining Inc.,Fluidstack,Barber Lake,,2025-09-25,168.0,Reflects total potential capacity of 500 MW per site – pending load studies and ERCOT LFL approval Gross: 244 MW IT: 168 MW,244.0,Reflects total potential capacity of 500 MW per site – pending load studies and ERCOT LFL approval Gross: 244 MW IT: 168 MW,10.0,"Transaction Overview 3 Cipher Mining Signs a 10 - Year Lease for AI / HPC Hosting with Fluidstack at Barber Lake • Google to receive ~5.4% stake in Cipher in consideration for providing backstop to support project financing • 168 MW of contracted capacity expected to be delivered by September 2026 • Expected rent commencement in October 2026 To Provide Backstop Support for $1.4Bn of Fluidstack’s Lease Obligations Oct. 2026 Lease Start Date 80% - 85% Expected NOI Margin ~$ 3.0 Bn Minimum Contract Value 168 MW Critical IT Load Under Contract 244 MW Gross Capacity at Barber Lake Two 5 - Year Lease Extension Options ~$9 - 11MM Total Development Cost / IT MW 10 Years Base Lease Term. . . . . . 4 Compelling Strategic and Financial Rationale 1 Signals Cipher’s arrival as a credible player in the premium AI/HPC infrastructure ecosystem 2 Diversifies revenue with expected steady, predictable, recurring, long - term revenue with high margins 3 Strengthens relationships with renowned neocloud and hyperscaler in the market 4 Complements Cipher’s current pipeline with what we believe is a replicable and scalable strategy 1",,,,,,,,,Google backstop,"Transaction Overview 3 Cipher Mining Signs a 10 - Year Lease for AI / HPC Hosting with Fluidstack at Barber Lake • Google to receive ~5.4% stake in Cipher in consideration for providing backstop to support project financing • 168 MW of contracted capacity expected to be delivered by September 2026 • Expected rent commencement in October 2026 To Provide Backstop Support for $1.4Bn of Fluidstack’s Lease Obligations Oct. 2026 Lease Start Date 80% - 85% Expected NOI Margin ~$ 3.0 Bn Minimum Contract Value 168 MW Critical IT Load Under Contract 244 MW Gross Capacity at Barber Lake Two 5 - Year Lease Extension Options ~$9 - 11MM Total Development Cost / IT MW 10 Years Base Lease Term. . . . . . 4 Compelling Strategic and Financial Rationale 1 Signals Cipher’s arrival as a credible player in the premium AI/HPC infrastructure ecosystem 2 Diversifies revenue with expected steady, predictable, recurring, long - term revenue with high margins 3 Strengthens relationships with renowned neocloud and hyperscaler in the market 4 Complements Cipher’s current pipeline with what we believe is a replicable and scalable strategy 1",2026-09 (expected),"Transaction Overview 3 Cipher Mining Signs a 10 - Year Lease for AI / HPC Hosting with Fluidstack at Barber Lake • Google to receive ~5.4% stake in Cipher in consideration for providing backstop to support project financing • 168 MW of contracted capacity expected to be delivered by September 2026 • Expected rent commencement in October 2026 To Provide Backstop Support for $1.4Bn of Fluidstack’s Lease Obligations Oct. 2026 Lease Start Date 80% - 85% Expected NOI Margin ~$ 3.0 Bn Minimum Contract Value 168 MW Critical IT Load Under Contract 244 MW Gross Capacity at Barber Lake Two 5 - Year Lease Extension Options ~$9 - 11MM Total Development Cost / IT MW 10 Years Base Lease Term. . . . . . 4 Compelling Strategic and Financial Rationale 1 Signals Cipher’s arrival as a credible player in the premium AI/HPC infrastructure ecosystem 2 Diversifies revenue with expected steady, predictable, recurring, long - term revenue with high margins 3 Strengthens relationships with renowned neocloud and hyperscaler in the market 4 Complements Cipher’s current pipeline with what we believe is a replicable and scalable strategy 1",L000095010325012168_dp234624_ex9902,https://www.sec.gov/Archives/edgar/data/1819989/000095010325012168/dp234624_ex9902.htm,"REVIEWED: gross_mw was 2400 (a 2.4 GW pipeline figure). Corrected to 244. contract_value cleared: no sentence in this document states it (P008 gives ~$3.0B). | Changes: gross_mw 2400->244; term_years filled 10; contract_value_musd 3000 cleared | Filled from candidates: site, credit_support, rfs_date | reduce_panel: REVIEWED -> NO_TERMS | decision: NO_TERMS -> EXCLUDED (duplicate): duplicate of P008",duplicate,CIFR-FLUIDSTACK-BARBER-P1,,,,,,,,,,
P010,EXCLUDED,Cipher Mining Inc.,Fluidstack,Barber Lake,TX,2025-11-04,,,244.0,"(“Fluidstack”) and other agreements relating to the development and lease of a 244 MW HPC data center facility near Colorado City, Texas (the “Barber Lake Facility”)",,,,,,,,,,,,,,,L000095010325014194_dp236870_8k-financials,https://www.sec.gov/Archives/edgar/data/1819989/000095010325014194/dp236870_8k-financials.htm,"REVIEWED: Pro forma financials filing for the Barber Lake lease (same lease as P007-P009). 244 MW is the facility size; the filing does not say IT or gross (P008 shows it is gross). | Changes: gross_mw filled 244 | Filled from candidates: site, state | reduce_panel: REVIEWED -> NO_TERMS | decision: NO_TERMS -> EXCLUDED (duplicate): duplicate of P008",duplicate,CIFR-FLUIDSTACK-BARBER-P1,,,,,,,,,,
