doc_id,document,publisher,doc_date,type,used_for,url,accessed,confidence,verified_vs_primary
D01,"CoreWeave Q2 2026 earnings press release (IS, BS, CF, non-GAAP recon; Q2'25 and 6M'25 comparatives)",CoreWeave IR,2026-08-11,Primary,"Reported_IS_CF cols C,D,G,H; Balance_Sheet Jun-26; KPIs Q2'26",https://investors.coreweave.com/news/news-details/2026/CoreWeave-Reports-Strong-Second-Quarter-2026-Results/default.aspx,2026-09-23,High,Yes
D02,"CoreWeave Q4/FY2025 earnings press release, 8-K EX-99.1 (Q4'24 and FY24 comparatives)",SEC EDGAR,2026-02-26,Primary,"Reported_IS_CF cols B,E,F; Balance_Sheet Dec-24, Dec-25; KPIs Q4'25",https://www.sec.gov/Archives/edgar/data/1769628/000176962826000094/coreweave4q25earningspress.htm,2026-09-23,High,Yes
D03,"CoreWeave Q1 2026 earnings press release, 8-K EX-99.1",SEC EDGAR,2026-05-07,Primary,"KPIs Q1'26 (backlog, contracted, active); Claim_Log 8 GW by 2030",https://www.sec.gov/Archives/edgar/data/1769628/000176962826000220/coreweave1q26earningspress.htm,2026-09-23,High,Partly (snippets only; open full doc)
D04,CoreWeave Q3 2025 earnings press release,CoreWeave IR,2025-11-10,Primary,KPIs Q3'25,https://investors.coreweave.com/news/news-details/2025/CoreWeave-Reports-Strong-Third-Quarter-2025-Results/,2026-09-23,High,Partly (via insideHPC reprint)
D05,"CoreWeave Q2 2025 earnings press release, 8-K EX-99.1",SEC EDGAR,2025-08-12,Primary,KPIs Q2'25,https://www.sec.gov/Archives/edgar/data/0001769628/000176962825000039/coreweave2q25earningspress.htm,2026-09-23,High,Yes (highlights section)
D06,Q2 2026 earnings call transcript,The Motley Fool,2026-08-18,Transcript,Backlog $104.2B; >$25B early-Q3 commitments; >50% of backlog on contracts with delivery started,https://www.fool.com/earnings/call-transcripts/2026/08/18/coreweave-crwv-q2-2026-earnings-call-transcript/,2026-09-23,Medium,No
D07,CoreWeave Q2 2026 earnings article (guidance),CNBC,2026-08-11,Secondary,"FY26 guidance: revenue, adj. op. income, YE26 active power, capex",https://www.cnbc.com/2026/08/11/coreweave-crwv-q2-earnings-report-2026.html,2026-09-23,Medium,No — check call transcript
D08,CoreWeave Q2 2026 slides summary,Investing.com,2026-08-12,Secondary,4.2 GW contracted as of 2026-08-11; 51 data centers,https://www.investing.com/news/company-news/coreweave-q2-2026-slides-revenue-doubles-backlog-surges-246-93CH-4852949,2026-09-23,Medium,No — check slides
D09,CoreWeave Q2 2026 earnings summary,Market Daily,2026-08-12,Secondary,Q2'26 capex $9.4B; total debt $35B; Q3'26 revenue guide; '36% active',https://marketdaily.com/coreweave-q2-2026-earnings-revenue-doubles-ai-backlog-104-billion/,2026-09-23,Low,No
D10,CoreWeave Q2 2026 article,TechTimes,2026-08-12,Secondary,Backlog stated as $129B,https://www.techtimes.com/articles/324054/20260812/coreweave-q2-2026-129b-backlog-grew-296b-six-weeks-despite-50-default-odds.htm,2026-09-23,Low,No
D11,Q1 2026 earnings call highlights,Yahoo Finance,2026-05-08,Secondary,>$40B new commitments; 36% of backlog in next 24 months; YE26 >1.7 GW target; majority of 3.5 GW online by end-2027,https://finance.yahoo.com/markets/stocks/articles/coreweave-q1-earnings-call-highlights-003833078.html,2026-09-23,Medium,No — check transcript
D12,Q4 2025 earnings call highlights,Yahoo Finance,2026-02-27,Secondary,43 data centers; ~5-yr weighted contract length; 2026 capex $30–35B; H100/A100 pricing comments,https://finance.yahoo.com/news/coreweave-q4-earnings-call-highlights-030733529.html,2026-09-23,Medium,No — check transcript
D13,CoreWeave Q4 2025 earnings article,CNBC,2026-02-26,Secondary,850 MW active vs ~827 MW consensus; 3.1 GW contracted,https://www.cnbc.com/2026/02/26/coreweave-crwv-q4-earnings-report-2025.html,2026-09-23,Medium,Consistent with D02
D14,CoreWeave Q4 FY2025 review,Futurum,2026-03-03,Secondary,Labels $898M as adjusted operating income (see Reconciliation R1),https://futurumgroup.com/insights/coreweave-q4-fy-2025-results-highlight-backlog-growth-and-capacity-expansion/,2026-09-23,Low,Conflicts with D02
D15,Q2 2025 earnings call transcript summary,MarketBeat,2025-08-12,Transcript,Target: >900 MW active by YE2025,https://www.marketbeat.com/earnings/reports/2025-8-12-coreweave-inc-class-a-common-stock--stock,2026-09-23,Medium,No
D16,Q3 2025 earnings call transcript summary,MarketBeat,2025-11-10,Transcript,>1 GW available to sell in 12–24 months; powered-shell delay; no customer >~35% of backlog,https://www.marketbeat.com/earnings/reports/2025-11-10-coreweave-inc-class-a-common-stock--stock/,2026-09-23,Medium,No
D17,CoreWeave Q2 2025 capex article (with quarterly table),Converge Digest,2025-08,Secondary,Q1'25 active 350 MW (conflict); Q2'25 capex $2.9B; Q2'24 revenue $395M; Kenilworth NJ 250 MW,https://convergedigest.com/coreweave-q2-capex-hits-record-2-9b-as-ai-data-center-buildout-accelerates/,2026-09-23,Low,Conflicts with D18 on Q1'25 MW
D18,CoreWeave Q1 2025 earnings summary,Fintool,n/a,Secondary,"Q1'25: ~420 MW active, ~1.6 GW contracted, $25.9B backlog, adj. EBITDA $606M",https://fintool.com/app/research/companies/CRWV/earnings/Q1 2025,2026-09-23,Low,No — check Q1'25 press release
D19,GPU depreciation schedules explainer,Beancount blog,2026-07-10,Secondary,"Useful life: CoreWeave 6 yrs, Lambda 5, Nebius 4",https://beancount.io/it/blog/2026/07/10/gpu-cloud-depreciation-schedules-guide,2026-09-23,Low,No — check each 10-K
D20,CoreWeave Form 10-K FY2025,SEC EDGAR,2026,Primary,"TO READ: useful-life policy, debt schedule, customer concentration, capex definition",https://www.sec.gov/Archives/edgar/data/1769628/000176962826000104/crwv-20251231.htm,2026-09-23,High,Not yet read
D21,CoreWeave Q1 2026 live earnings coverage,24/7 Wall St.,2026-05-07,Secondary,"Q1'26 revenue $2.08B, net loss $740M, interest $536M (cross-checks only)",https://247wallst.com/investing/2026/05/07/live-will-coreweave-beat-q1-earnings-tonight/,2026-09-23,Medium,Used only in Checks
D22,Q3 2025 results summary,Converge Digest,2025-11-10,Secondary,Q3'25 revenue $1.36B; Lancaster PA up to 300 MW / $6B,https://convergedigest.com/coreweave-expands-ai-cloud-infrastructure-to-2-9-gw-triples-revenue/,2026-09-23,Medium,No
D23,"CoreWeave Form S-1/A (Amendment No. 2): defined terms; Dec-24 GPUs, active and contracted power, RPO",SEC EDGAR,2025-03-20,Primary,"Power definitions; Dec-24 calibration (GPUs per MW); Q4'24 KPIs",https://www.sec.gov/Archives/edgar/data/1769628/000119312525058309/d899798ds1a.htm,2026-09-23,High,Yes
D24,"Core Scientific Q2 2026 earnings deck, 8-K: CoreWeave contract summary and billing status",SEC EDGAR,2026-07-28,Primary,"CORZ deal: ~590 MW IT, ~800 MW gross, ~$850M avg annual revenue; >430 MW billing mid-July 2026",https://www.sec.gov/Archives/edgar/data/0001839341/000183934126000012/q2fy26earningsdeck728am.htm,2026-09-23,High,Partly (search excerpt)
D25,"Core Scientific Q1 2026 earnings deck, 8-K: term library (gross utility power vs leasable customer IT load)",SEC EDGAR,2026-05,Primary,Power definitions (CORZ),https://www.sec.gov/Archives/edgar/data/0001839341/000162828026031246/q1fy26earningsdeck.htm,2026-09-23,High,Partly (search excerpt)
D26,Core Scientific Q1 2026 earnings call transcript,The Motley Fool,2026-05-06,Transcript,"243 MW billing in Q1'26; >$350M annualized colocation revenue; 80–85% cash gross margin target",https://www.fool.com/earnings/call-transcripts/2026/05/06/core-scientific-corz-q1-2026-earnings-transcript/,2026-09-23,Medium,No
D27,"Applied Digital 8-K EX-99.1: additional 150 MW lease with CoreWeave (400 MW critical IT, ~$11B)",SEC EDGAR,2025-08-29,Primary,APLD deal terms,https://www.sec.gov/Archives/edgar/data/1144879/000149315225012458/ex99-1.htm,2026-09-23,High,Partly (search excerpt)
D28,Applied Digital press release: Ready for Service for Phase 1 (50 MW) at Polaris Forge 1,Applied Digital IR,2025-10-27,Primary,APLD first RFS date; ~15-year term,https://ir.applieddigital.com/news-events/press-releases/detail/133/applied-digital-achieves-ready-for-service-for-phase-1-at,2026-09-23,High,Partly (search excerpt)
D29,Galaxy press release: Phase I of Helios complete (133 MW critical IT / ~200 MW gross),PR Newswire,2026-07-06,Primary,"GLXY deal: 526 MW critical IT on 800 MW gross, >$1B avg annual revenue, rent start Q2'26",https://www.prnewswire.com/news-releases/galaxy-completes-phase-i-of-its-helios-data-center-campus-delivering-133-megawatts-of-critical-it-load-to-coreweave-302818664.html,2026-09-23,High,Partly (search excerpt)
D30,Monthly U.S. industrial electricity price (EIA series via data aggregator),Protein Report (EIA data),2026,Secondary,"Industrial price, Mar 2026: 8.58 c/kWh. Verify in EIA Electric Power Monthly Table 5.6.A",https://www.proteinreport.org/data/series/us-industrial-electricity-price,2026-09-23,Medium,No — check EIA table
D31,"Core Scientific Q1 2025 earnings deck, 8-K EX-99.2: CoreWeave funds up to $1.5M per MW of fit-out",Core Scientific IR / SEC,2025-05-07,Primary,Tenant-funded fit-out credit (CORZ),https://investors.corescientific.com/sec-filings/all-sec-filings/content/0001628280-25-023161/exhibit992-q12025earning.htm,2026-09-23,High,Partly (search excerpt)
D32,Galaxy Helios lease article (lease signing date),Crypto Briefing,2026-07-06,Secondary,Lease signed 2025-03-28,https://cryptobriefing.com/galaxy-digital-coreweave-200mw-helios-lease/,2026-09-23,Medium,No — check Galaxy 8-K
D33,"CoreWeave Q1 2025 earnings press release, 8-K EX-99.1",SEC EDGAR,2025-05-14,Primary,"KPIs Q1'25 (active power, contracted power, backlog); resolves R2",https://www.sec.gov/Archives/edgar/data/1769628/000176962825000010/coreweave1q25earningspress.htm,2026-09-24,High,Yes (highlights section)
