lease_id,field,value,evidence_col,evidence_needle
P008,credit_type,third_party_backstop,,
P008,credit_support,Google,credit_support_evidence,Google will backstop $1.4 billion
P012,credit_type,third_party_backstop,,
P012,credit_support,Google,credit_support_evidence,Google will backstop an additional $333 million
P013,credit_type,parent_guarantee,,
P013,credit_support,"Amazon.com, Inc.",credit_support_evidence,Amazon parent providing guarantee in an amount equal to rent and opex
P014,credit_type,parent_guarantee,,
P014,credit_support,"Amazon.com, Inc.",credit_support_evidence,fully guarantees all base rent and operating expenses
P018,credit_type,parent_guarantee,,
P018,credit_support,G42,credit_support_evidence,backed by a parent guarantee from G42
P043b,credit_type,none_stated,,
P043b,credit_support,,,
P043b,credit_support_evidence,,,
P044,credit_type,none_stated,,
P044,credit_support,,,
P044,credit_support_evidence,,,
P074,credit_type,third_party_backstop,,
P074,credit_support,Google,credit_support_evidence,Google will backstop $1.8 billion
P076,credit_type,third_party_backstop,,
P076,credit_support,Google,credit_support_evidence,pursuant to which Google has agreed to backstop
P081,credit_type,third_party_backstop,,
P081,credit_support,Google,credit_support_evidence,Google backstops $1.3 billion
P084,credit_type,third_party_backstop,,
P084,credit_support,Google,credit_support_evidence,"is providing a financial backstop, which covers the lease payments"
P087,credit_type,none_stated,,
P087,credit_support,,,
P087,credit_support_evidence,,,
P092,credit_type,none_stated,,
P092,credit_support,,,
P092,credit_support_evidence,,,
P094,credit_type,ig_tenant,,
P094,credit_support,tenant is high investment-grade,credit_support_evidence,for 352 MW of IT capacity with a high-investment-grade tenant
P099,credit_type,anticipated,,
P099,credit_support,investment-grade credit support expected,credit_support_evidence,expected to be supported by an investment-grade credit
P100,credit_type,ig_tenant,,
P100,credit_support,tenant is high investment-grade,credit_support_evidence,Tenant Profile: High-investment-grade company
P104,credit_type,anticipated,,
P104,credit_support,IG backstop in finalization,credit_support_evidence,IG-Backstop in Finalization
P122,credit_type,ig_tenant,,
P122,credit_support,tenant is investment-grade,credit_support_evidence,"Hyperscaler at its state-of-the-art, purpose-built Polaris Forge 2"
P126,credit_type,ig_tenant,,
P126,credit_support,tenant is high investment-grade,credit_support_evidence,High Investment-Grade Hyperscaler Tenant at Delta Forge 1
P128b,credit_type,ig_tenant,,
P128b,credit_support,tenant is high investment-grade,credit_support_evidence,all with the same high investment-grade hyperscaler
P129,credit_type,none_stated,,
P129,credit_support,,,
P129,credit_support_evidence,,,
P141,credit_type,none_stated,,
P141,credit_support,,,
P141,credit_support_evidence,,,
P145,credit_type,ig_tenant,,
P145,credit_support,tenant is high investment-grade,credit_support_evidence,to a high-investment-grade tenant
P178,credit_type,none_stated,,
P178,credit_support,,,
P178,credit_support_evidence,,,
P188,credit_type,none_stated,,
P188,credit_support,,,
P188,credit_support_evidence,,,
P196,credit_type,none_stated,,
P196,credit_support,,,
P196,credit_support_evidence,,,
P200,credit_type,anticipated,,
P200,credit_support,letters of credit anticipated,credit_support_evidence,obligations are anticipated to be backed by Letters of Credit
P215,credit_type,none_stated,,
P215,credit_support,,,
P215,credit_support_evidence,,,
P231,credit_type,ig_tenant,,
