doc_id,url,fetched_at_utc,method,http_status,content_type,bytes,sha256,local_file,wayback_url,error
D01,https://investors.coreweave.com/news/news-details/2026/CoreWeave-Reports-Strong-Second-Quarter-2026-Results/default.aspx,2026-09-24T00:51:41+00:00,direct,200,text/html; charset=utf-8,435633,8870432b82f55e387f8bfa1ce8b567d0a59d1ea6111c57e978afde81e2ea953a,D01.html,,
D02,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000094/coreweave4q25earningspress.htm,2026-09-24T00:51:43+00:00,direct,200,text/html,373517,36cd825de2f17353dc6f2261a46f2bb821a137bfd9e3583471bc84fe842780f7,D02.html,,
D03,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000220/coreweave1q26earningspress.htm,2026-09-24T00:51:43+00:00,direct,200,text/html,264267,cf48c250b18f83f273f0e43c9371c70866625041e677ed92e9d8e7be04dd28d2,D03.html,,
D04,https://investors.coreweave.com/news/news-details/2025/CoreWeave-Reports-Strong-Third-Quarter-2025-Results/,2026-09-24T00:51:43+00:00,direct,200,text/html; charset=utf-8,460133,efe548adcc231f49f21d181cf01f55af7c0332fe70c48241dfe30e4071ef5c05,D04.html,,
D05,https://www.sec.gov/Archives/edgar/data/0001769628/000176962825000039/coreweave2q25earningspress.htm,2026-09-24T00:51:44+00:00,direct,200,text/html,339940,10c9f82022cb0284d5083c8dc93e7356325bdd124a94e74879a32bb7376cd173,D05.html,,
D06,https://www.fool.com/earnings/call-transcripts/2026/08/18/coreweave-crwv-q2-2026-earnings-call-transcript/,2026-09-24T00:51:45+00:00,direct,200,text/html; charset=utf-8,537298,6e41a032c1b97213950831ba1dfd430714179f0debdbd04be6631766895b1406,D06.html,,
D07,https://www.cnbc.com/2026/08/11/coreweave-crwv-q2-earnings-report-2026.html,2026-09-24T00:51:46+00:00,direct,200,text/html; charset=utf-8,818170,f1ef07cc9f08fc76688c63c6924e427cc2bd5f3534af613f41a6b308f42ea624,D07.html,,
D08,https://www.investing.com/news/company-news/coreweave-q2-2026-slides-revenue-doubles-backlog-surges-246-93CH-4852949,2026-09-24T00:51:48+00:00,direct,403,text/html; charset=UTF-8,958799,6eda64b5054c039bbbaf3c491e9c5d31057d09863ec886bec1791ceebb4a8a81,D08.html,,HTTP 403
D09,https://marketdaily.com/coreweave-q2-2026-earnings-revenue-doubles-ai-backlog-104-billion/,2026-09-24T00:51:50+00:00,direct,200,text/html; charset=UTF-8,221958,658be5ccd14f37a7a0323c27c02dbb69bc12dd83d8513420516f14c016214b88,D09.html,,
D10,https://www.techtimes.com/articles/324054/20260812/coreweave-q2-2026-129b-backlog-grew-296b-six-weeks-despite-50-default-odds.htm,2026-09-24T00:51:52+00:00,direct,200,text/html; charset=UTF-8,343024,10146ed10ea04c807baf5096f47d7242dceb638214a18e879f6ad36012b06f61,D10.html,,
