metric,quarter,as_of,value,unit,qualifier,doc_id,evidence
active_mw,Q1'25,2025-03-31,420,MW,~,D33,approximately 420 MW of active power and approximately 1.6 GW of contracted power at quarter end
active_mw,Q2'25,2025-06-30,470,MW,~,D05,approximately 470 MW of active power
active_mw,Q3'25,2025-09-30,590,MW,~,D04,bringing the total to approximately 590 MW
active_mw,Q4'25,2025-12-31,850,MW,>,D02,bringing the total to more than 850 MW
active_mw,Q1'26,2026-03-31,1000,MW,>,D03,We surpassed 1 GW of active power
active_mw,Q2'26,2026-06-30,1500,MW,~,D01,Expanded active power by nearly 500 MWs to reach 1.5 GW
contracted_gw,Q1'25,2025-03-31,1.6,GW,~,D33,approximately 420 MW of active power and approximately 1.6 GW of contracted power at quarter end
contracted_gw,Q2'25,2025-06-30,2.2,GW,~,D05,increased total contracted power approximately 600 MW to 2.2 GW
contracted_gw,Q3'25,2025-09-30,2.9,GW,~,D04,Expanded total contracted power to approximately 2.9 GW
contracted_gw,Q4'25,2025-12-31,3.1,GW,~,D02,Expanded total contracted power to approximately 3.1 GW
contracted_gw,Q1'26,2026-03-31,3.5,GW,>,D03,Expanded total contracted power by more than 400 MW to over 3.5 GW
contracted_gw,Q2'26,2026-06-30,3.7,GW,~,D01,Grew total contracted power to approximately 3.7 GW
backlog_busd,Q1'25,2025-03-31,25.9,$B,,D33,$25.9 billion
backlog_busd,Q2'25,2025-06-30,30.1,$B,,D05,$30.1 billion
backlog_busd,Q3'25,2025-09-30,55.6,$B,,D04,"55.6 billion as of September 30, 2025"
backlog_busd,Q4'25,2025-12-31,66.8,$B,,D02,"66.8 billion as of December 31, 2025"
backlog_busd,Q1'26,2026-03-31,99.4,$B,,D03,"99.4 billion as of March 31, 2026"
backlog_busd,Q2'26,2026-06-30,104.2,$B,~ (excl. >$25B early-Q3 commitments),D06,Revenue backlog ended the quarter at $104.2 billion
data_centers,Q2'25,2025-06-30,33,count,,D17,across 33 data centers
data_centers,Q4'25,2025-12-31,43,count,,D12,finished the year with 43 active data centers
data_centers,Q2'26,2026-06-30,51,count,,D08,operated 51 active data centers
active_mw,Q4'24,2024-12-31,360,MW,>,D23,supported by more than 360 MW of active power
contracted_gw,Q4'24,2024-12-31,1.3,GW,~,D23,"Our total contracted power extends to approximately 1.3 GW as of December 31, 2024"
backlog_busd,Q4'24,2024-12-31,15.1,$B,RPO,D23,$15.1 billion of remaining performance obligations
